@relation final_property_listings_WEKA-weka.filters.unsupervised.attribute.Remove-R1

@attribute Location {klcc,'damansara heights',dutamas,'bukit jalil','taman tun dr ismail','sri petaling','bukit tunku (kenny hills)','mont kiara','desa parkcity','bangsar south','ampang hilir',kepong,'jalan klang lama (old klang road)','sungai besi','kl city','kl sentral','taman melawati',setapak,'city centre','country heights damansara','taman desa',sentul,bangsar,segambut,'wangsa maju','batu caves',ampang,'sri hartamas',cheras,setiawangsa,oug,'bukit bintang','jalan sultan ismail','jalan kuching','bandar menjalara',seputeh,'sunway spk','kl eco city',pantai,'kuchai lama','jalan ipoh',brickfields,'desa pandan','desa petaling','pandan perdana','bandar damai perdana',keramat,'salak selatan',titiwangsa}
@attribute Price numeric
@attribute 'Rooms Num' numeric
@attribute Bathrooms numeric
@attribute 'Main Property Type' {'Serviced Residence',Bungalow,Condominium,'Semi-detached House','Terrace/Link House',Apartment,Townhouse,Flat,'Residential Land','Cluster House'}
@attribute 'Size Type' {Built-up,'Land area'}
@attribute 'Size Num' numeric
@attribute Furnishing {'Fully Furnished','Partly Furnished',Unfurnished,Unknown}

@data
klcc,1799000,1,1,'Serviced Residence',Built-up,720,'Fully Furnished'
klcc,1820000,3,2,Condominium,Built-up,1159,'Fully Furnished'
klcc,1000000,4,3,'Serviced Residence',Built-up,1313,'Partly Furnished'
klcc,1650000,4,5,Condominium,Built-up,1905,'Fully Furnished'
klcc,2300000,1,1,'Serviced Residence',Built-up,1023,'Partly Furnished'
'mont kiara',2400000,5,5,Condominium,'Land area',2702,'Partly Furnished'
klcc,2055000,2,1,'Serviced Residence',Built-up,797,'Partly Furnished'
klcc,1714000,1,1,'Serviced Residence',Built-up,700,'Partly Furnished'
'bukit jalil',620000,3,2,Condominium,Built-up,1232,'Partly Furnished'
'bukit jalil',1720000,7,7,'Terrace/Link House','Land area',3033,Unfurnished
klcc,2300000,4,4,'Serviced Residence',Built-up,3282,'Partly Furnished'
'bukit jalil',920000,5,3,Condominium,Built-up,1513,'Partly Furnished'
klcc,2300000,1,1,'Serviced Residence',Built-up,1046,'Partly Furnished'
'taman tun dr ismail',4995000,6,7,Bungalow,'Land area',8113,'Partly Furnished'
'taman tun dr ismail',1630000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
'mont kiara',1850000,5,4,Condominium,Built-up,1830,'Partly Furnished'
klcc,1783000,2,2,Condominium,Built-up,976,'Partly Furnished'
dutamas,1180000,4,4,Condominium,Built-up,1942,'Partly Furnished'
'bukit jalil',900000,5,3,Condominium,Built-up,1513,'Partly Furnished'
'city centre',1700000,3,2,'Serviced Residence',Built-up,1442,'Fully Furnished'
klcc,850000,1,2,'Serviced Residence',Built-up,761,'Fully Furnished'
'damansara heights',6800000,7,7,Bungalow,'Land area',7000,Unknown
'mont kiara',3100000,5,6,Condominium,Built-up,3400,'Fully Furnished'
'bukit jalil',630000,2,2,'Serviced Residence',Built-up,791,'Partly Furnished'
kepong,2040000,6,5,'Terrace/Link House','Land area',2400,'Partly Furnished'
klcc,1780000,1,1,'Serviced Residence',Built-up,728,'Fully Furnished'
'desa parkcity',2850000,4,3,'Terrace/Link House',Built-up,3211,'Partly Furnished'
'desa parkcity',1050000,3,2,Condominium,Built-up,1389,'Partly Furnished'
'mont kiara',2600000,5,4,Condominium,Built-up,3041,'Partly Furnished'
'bangsar south',630000,2,1,'Serviced Residence',Built-up,663,'Partly Furnished'
klcc,3364000,3,2,'Serviced Residence',Built-up,1399,'Fully Furnished'
'bukit jalil',978000,5,3,Condominium,Built-up,1513,'Partly Furnished'
klcc,3600000,4,5,'Serviced Residence',Built-up,3897,'Partly Furnished'
klcc,3600000,4,5,'Serviced Residence',Built-up,3897,'Partly Furnished'
klcc,2000000,1,1,'Serviced Residence',Built-up,1087,'Fully Furnished'
'mont kiara',1630000,5,4,Condominium,Built-up,2065,'Partly Furnished'
'taman tun dr ismail',1280000,4,3,'Terrace/Link House','Land area',1875,'Partly Furnished'
klcc,1250000,2,2,Condominium,Built-up,736,'Partly Furnished'
'bangsar south',630000,2,1,'Serviced Residence',Built-up,650,'Fully Furnished'
klcc,1350000,2,2,'Serviced Residence',Built-up,1050,'Fully Furnished'
'bangsar south',490000,1,1,'Serviced Residence',Built-up,500,'Fully Furnished'
'bangsar south',800000,2,2,'Serviced Residence',Built-up,825,'Partly Furnished'
'desa parkcity',1980000,4,4,'Terrace/Link House',Built-up,2200,'Partly Furnished'
dutamas,1035000,4,5,Condominium,Built-up,1853,Unknown
klcc,1000000,1,1,Condominium,Built-up,657,'Fully Furnished'
'sungai besi',448800,3,3,'Serviced Residence',Built-up,1045,Unfurnished
'damansara heights',4900000,6,6,'Semi-detached House','Land area',3700,'Fully Furnished'
'mont kiara',2480000,5,5,Condominium,Built-up,3041,'Partly Furnished'
'kl sentral',2716000,4,4,'Serviced Residence',Built-up,2227,'Partly Furnished'
'kl sentral',1480000,4,3,Condominium,Built-up,1544,'Fully Furnished'
'country heights damansara',9500000,7,7,Bungalow,'Land area',10000,'Partly Furnished'
klcc,8343600,3,3,Condominium,Built-up,2454,Unknown
'taman desa',500000,2,2,'Serviced Residence',Built-up,715,'Partly Furnished'
'damansara heights',13800000,6,7,Bungalow,'Land area',7500,'Partly Furnished'
'desa parkcity',3490000,5,5,'Terrace/Link House','Land area',2850,'Partly Furnished'
'desa parkcity',2300000,4,3,'Terrace/Link House','Land area',1826,'Partly Furnished'
klcc,3600000,4,4,'Serviced Residence',Built-up,3897,'Partly Furnished'
'mont kiara',2480000,5,5,Condominium,Built-up,3041,Unfurnished
klcc,3500000,3,3,'Serviced Residence',Built-up,1560,'Fully Furnished'
'mont kiara',2200000,4,4,Condominium,Built-up,2243,Unknown
'taman tun dr ismail',1380000,4,3,'Terrace/Link House','Land area',1800,'Fully Furnished'
klcc,3600000,4,4,'Serviced Residence',Built-up,3897,'Fully Furnished'
'desa parkcity',2500000,5,6,'Terrace/Link House','Land area',1650,'Partly Furnished'
'bukit jalil',1060000,5,4,Condominium,Built-up,1772,'Partly Furnished'
'bukit jalil',900000,5,3,Condominium,Built-up,1513,'Partly Furnished'
klcc,1850000,3,1,Condominium,Built-up,2174,'Partly Furnished'
sentul,668000,4,3,Condominium,Built-up,1345,'Fully Furnished'
klcc,1050000,4,3,'Serviced Residence',Built-up,1313,'Fully Furnished'
'jalan klang lama (old klang road)',509000,2,2,'Serviced Residence',Built-up,797,Unknown
'desa parkcity',3170000,5,5,'Terrace/Link House',Built-up,4306,'Partly Furnished'
'desa parkcity',3400000,6,6,'Terrace/Link House',Built-up,5448,Unfurnished
klcc,2998000,4,3,Condominium,Built-up,3218,'Partly Furnished'
klcc,2580000,4,3,Condominium,Built-up,2809,'Partly Furnished'
'desa parkcity',5600000,8,9,'Terrace/Link House',Built-up,7000,'Partly Furnished'
'desa parkcity',1260000,3,3,Condominium,Built-up,1485,'Partly Furnished'
'desa parkcity',4950000,7,7,'Terrace/Link House','Land area',2805,Unfurnished
'desa parkcity',1990000,4,4,'Terrace/Link House',Built-up,2500,'Partly Furnished'
kepong,920000,5,3,'Terrace/Link House','Land area',1600,'Partly Furnished'
'mont kiara',2100000,4,4,Condominium,Built-up,2441,'Fully Furnished'
klcc,1100000,2,2,'Serviced Residence',Built-up,880,'Fully Furnished'
klcc,3600000,5,3,'Serviced Residence',Built-up,3897,'Partly Furnished'
klcc,2900000,4,4,Condominium,Built-up,2809,'Fully Furnished'
sentul,670000,3,2,Condominium,Built-up,1085,'Partly Furnished'
'desa parkcity',1370000,4,3,Condominium,Built-up,1572,'Partly Furnished'
'desa parkcity',3480000,5,5,'Terrace/Link House','Land area',3450,'Partly Furnished'
'desa parkcity',1350000,2,2,Condominium,Built-up,1292,'Partly Furnished'
klcc,2300000,1,2,'Serviced Residence',Built-up,1023,'Partly Furnished'
klcc,1900000,2,2,Condominium,Built-up,915,'Partly Furnished'
klcc,1450000,2,2,'Serviced Residence',Built-up,1090,'Fully Furnished'
klcc,1000000,1,1,Condominium,Built-up,657,'Fully Furnished'
klcc,1300000,1,1,'Serviced Residence',Built-up,925,'Partly Furnished'
klcc,3600000,3,4,'Serviced Residence',Built-up,3897,'Partly Furnished'
'taman tun dr ismail',1630000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
'damansara heights',2100000,4,3,'Terrace/Link House','Land area',1760,Unknown
'taman tun dr ismail',5350000,6,5,Bungalow,'Land area',7200,'Partly Furnished'
'bukit jalil',1050000,5,4,Condominium,Built-up,1772,'Partly Furnished'
'bukit jalil',1200000,6,4,Condominium,Built-up,1930,'Partly Furnished'
'bukit jalil',900000,5,3,Condominium,Built-up,1513,'Partly Furnished'
'damansara heights',2251800,3,4,'Serviced Residence',Built-up,1668,'Partly Furnished'
'bukit jalil',998000,6,5,'Terrace/Link House','Land area',1650,'Partly Furnished'
'mont kiara',1550000,4,4,Condominium,Built-up,1496,'Partly Furnished'
setapak,780000,3,3,Condominium,Built-up,1368,'Partly Furnished'
'desa parkcity',1380000,2,2,Condominium,Built-up,1292,'Partly Furnished'
'desa parkcity',1798000,4,3,'Terrace/Link House',Built-up,2200,'Partly Furnished'
klcc,1300000,1,1,'Serviced Residence',Built-up,925,Unknown
klcc,1268000,3,3,Condominium,Built-up,1619,'Fully Furnished'
klcc,2600000,4,4,Condominium,Built-up,2809,'Fully Furnished'
klcc,4200000,4,4,'Serviced Residence',Built-up,2195,'Partly Furnished'
klcc,3330000,3,3,'Serviced Residence',Built-up,2789,'Fully Furnished'
klcc,2600000,2,2,'Serviced Residence',Built-up,1184,'Fully Furnished'
klcc,1950000,2,2,'Serviced Residence',Built-up,1076,'Partly Furnished'
'taman tun dr ismail',1050000,3,2,'Terrace/Link House','Land area',1920,Unknown
sentul,900000,4,4,Condominium,Built-up,1381,Unknown
kepong,638000,4,2,'Terrace/Link House','Land area',1890,'Partly Furnished'
klcc,1400000,2,2,'Serviced Residence',Built-up,1050,'Fully Furnished'
kepong,850000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
'damansara heights',6500000,6,5,Bungalow,'Land area',7200,'Partly Furnished'
'mont kiara',1800000,4,4,Condominium,Built-up,1830,'Partly Furnished'
bangsar,3800000,5,5,Bungalow,Built-up,4067,'Partly Furnished'
'bangsar south',350000,1,1,Apartment,Built-up,495,Unknown
klcc,3600000,5,5,'Serviced Residence',Built-up,3897,Unknown
'taman tun dr ismail',1790000,4,3,'Terrace/Link House','Land area',2090,'Partly Furnished'
segambut,635000,4,4,Condominium,Built-up,1643,'Partly Furnished'
'taman desa',530000,2,2,'Serviced Residence',Built-up,715,Unknown
klcc,5070000,4,4,'Serviced Residence',Built-up,2142,'Partly Furnished'
'kl city',1207000,1,1,'Serviced Residence',Built-up,685,'Partly Furnished'
'kl city',1177000,2,1,'Serviced Residence',Built-up,717,'Partly Furnished'
'taman tun dr ismail',3000000,3,2,'Terrace/Link House','Land area',5700,'Partly Furnished'
'wangsa maju',700000,3,2,Condominium,Built-up,1152,'Partly Furnished'
'ampang hilir',3710000,5,5,Condominium,Built-up,3369,'Partly Furnished'
'mont kiara',1900000,4,4,Condominium,Built-up,2411,'Fully Furnished'
'mont kiara',3785400,6,5,Condominium,Built-up,3907,'Partly Furnished'
klcc,1300000,2,2,Condominium,Built-up,871,'Fully Furnished'
sentul,960000,4,4,Condominium,Built-up,1488,Unfurnished
'kl city',490000,4,2,Condominium,Built-up,1065,Unfurnished
'mont kiara',4200000,6,5,Condominium,Built-up,3709,'Partly Furnished'
klcc,1450000,2,1,'Serviced Residence',Built-up,1050,'Fully Furnished'
'desa parkcity',2380000,5,4,Condominium,Built-up,2454,'Fully Furnished'
'desa parkcity',1350000,4,3,Condominium,Built-up,1389,Unknown
klcc,1800000,5,5,Condominium,Built-up,2315,Unknown
'bukit jalil',1210000,6,6,'Terrace/Link House',Built-up,3400,'Partly Furnished'
'taman tun dr ismail',4995000,6,7,Bungalow,'Land area',8113,'Partly Furnished'
'mont kiara',1900000,5,4,Condominium,Built-up,1830,'Partly Furnished'
klcc,2700000,2,2,'Serviced Residence',Built-up,1195,'Partly Furnished'
klcc,6300000,4,4,'Serviced Residence',Built-up,2195,'Partly Furnished'
klcc,1900000,3,2,Condominium,Built-up,915,'Fully Furnished'
klcc,3000000,5,5,Condominium,Built-up,3218,'Partly Furnished'
setapak,240000,3,2,Condominium,Built-up,850,Unknown
klcc,1300000,2,2,Condominium,Built-up,871,'Fully Furnished'
klcc,1000000,1,1,Condominium,Built-up,751,'Partly Furnished'
klcc,1000000,1,1,Condominium,Built-up,751,'Partly Furnished'
klcc,2000000,3,2,'Serviced Residence',Built-up,1350,'Fully Furnished'
klcc,6380000,4,4,'Serviced Residence',Built-up,2195,'Partly Furnished'
'mont kiara',2480000,5,6,Condominium,Built-up,2702,'Partly Furnished'
'batu caves',676775,4,3,'Serviced Residence',Built-up,1265,'Partly Furnished'
'mont kiara',2280000,5,5,Condominium,Built-up,2702,'Partly Furnished'
'mont kiara',1830000,5,4,Condominium,Built-up,1830,'Partly Furnished'
'city centre',1750000,3,3,'Serviced Residence',Built-up,1442,'Partly Furnished'
'desa parkcity',1780000,4,3,'Terrace/Link House',Built-up,2400,'Fully Furnished'
kepong,3380000,5,4,'Semi-detached House','Land area',4050,'Partly Furnished'
'bukit jalil',1200000,6,4,Condominium,Built-up,1930,'Partly Furnished'
klcc,2300000,1,2,'Serviced Residence',Built-up,1046,'Partly Furnished'
klcc,2300000,1,1,'Serviced Residence',Built-up,1046,'Partly Furnished'
'mont kiara',1600000,4,3,Condominium,Built-up,1878,'Partly Furnished'
'mont kiara',1291000,6,4,Condominium,Built-up,2069,'Partly Furnished'
klcc,880000,1,1,'Serviced Residence',Built-up,710,'Fully Furnished'
'jalan klang lama (old klang road)',655000,4,2,'Serviced Residence',Built-up,1094,'Partly Furnished'
'mont kiara',2150000,4,5,Condominium,Built-up,2700,Unknown
'mont kiara',1400000,4,4,Condominium,Built-up,1496,'Partly Furnished'
klcc,7975250,5,6,'Serviced Residence',Built-up,2975,'Fully Furnished'
'mont kiara',1100000,3,2,Condominium,Built-up,1200,'Partly Furnished'
klcc,1238000,2,2,Condominium,Built-up,736,'Partly Furnished'
'bangsar south',750000,2,2,'Serviced Residence',Built-up,823,'Partly Furnished'
'damansara heights',2100000,4,4,Condominium,Built-up,2153,'Partly Furnished'
'bukit jalil',900000,5,4,Condominium,Built-up,1513,Unknown
'mont kiara',1500000,3,2,Condominium,Built-up,1200,'Fully Furnished'
'mont kiara',2300000,5,6,Condominium,Built-up,2702,'Partly Furnished'
klcc,1000000,3,2,'Serviced Residence',Built-up,777,'Partly Furnished'
klcc,990000,4,3,'Serviced Residence',Built-up,1313,'Fully Furnished'
klcc,3960000,4,4,'Serviced Residence',Built-up,2195,'Partly Furnished'
klcc,2700000,2,2,'Serviced Residence',Built-up,1184,'Fully Furnished'
klcc,1900000,2,2,'Serviced Residence',Built-up,1087,'Fully Furnished'
'desa parkcity',5460000,8,9,'Terrace/Link House',Built-up,7000,'Partly Furnished'
klcc,2050000,4,5,Condominium,Built-up,2356,'Fully Furnished'
'bangsar south',1121800,3,2,'Serviced Residence',Built-up,1200,'Fully Furnished'
klcc,1506300,2,1,'Serviced Residence',Built-up,1020,'Fully Furnished'
bangsar,1530000,4,3,Condominium,Built-up,2095,'Fully Furnished'
ampang,3680000,7,8,Bungalow,'Land area',6300,Unfurnished
klcc,3600000,4,5,'Serviced Residence',Built-up,3897,'Partly Furnished'
'mont kiara',2300000,5,5,Condominium,Built-up,2906,'Partly Furnished'
'sri hartamas',14800000,6,6,Bungalow,'Land area',8611,'Fully Furnished'
'desa parkcity',1480000,5,4,Condominium,Built-up,1917,'Partly Furnished'
'bangsar south',1050000,3,2,Condominium,Built-up,1485,'Fully Furnished'
klcc,1200019,2,2,Condominium,Built-up,577,'Partly Furnished'
cheras,780000,5,4,Bungalow,'Land area',5320,Unknown
klcc,1999000,2,2,'Serviced Residence',Built-up,1271,Unknown
'mont kiara',1820000,5,4,Condominium,Built-up,1830,'Partly Furnished'
'ampang hilir',3700000,5,5,Condominium,Built-up,3628,Unknown
'mont kiara',1420000,4,4,Condominium,Built-up,1499,'Partly Furnished'
'mont kiara',1830000,5,4,Condominium,Built-up,1832,'Partly Furnished'
klcc,1680000,4,2,Condominium,Built-up,1159,'Fully Furnished'
klcc,2210000,3,3,Condominium,Built-up,1502,'Fully Furnished'
klcc,1420000,2,2,Condominium,Built-up,976,'Fully Furnished'
klcc,3600000,5,5,'Serviced Residence','Land area',3897,'Partly Furnished'
klcc,1238000,2,2,Condominium,Built-up,736,'Partly Furnished'
klcc,1139000,1,1,Condominium,Built-up,751,'Partly Furnished'
klcc,2930000,2,2,'Serviced Residence',Built-up,1114,'Fully Furnished'
'desa parkcity',1580000,3,3,'Terrace/Link House',Built-up,1900,'Partly Furnished'
'damansara heights',1620000,2,2,'Serviced Residence',Built-up,1194,'Partly Furnished'
'desa parkcity',1300000,3,3,Condominium,Built-up,1367,'Partly Furnished'
'country heights damansara',8000000,7,7,Bungalow,'Land area',10600,'Partly Furnished'
'damansara heights',6500000,6,4,Bungalow,'Land area',7880,'Partly Furnished'
'desa parkcity',2750000,4,4,'Terrace/Link House','Land area',1958,'Partly Furnished'
'desa parkcity',2050000,4,4,'Terrace/Link House','Land area',1650,'Partly Furnished'
'desa parkcity',1200000,2,2,Townhouse,Built-up,1400,'Partly Furnished'
bangsar,1600000,3,2,Townhouse,Built-up,2400,'Partly Furnished'
'desa parkcity',1730000,4,3,Condominium,Built-up,1690,'Fully Furnished'
'desa parkcity',1500000,4,2,Condominium,Built-up,1346,'Fully Furnished'
'desa parkcity',2800000,4,4,'Terrace/Link House','Land area',1302,'Partly Furnished'
'desa parkcity',3280000,5,4,Bungalow,'Land area',3200,'Partly Furnished'
'desa parkcity',1500000,4,3,Condominium,Built-up,1400,'Partly Furnished'
'desa parkcity',5500000,7,8,'Terrace/Link House','Land area',2805,'Partly Furnished'
'desa parkcity',1180000,3,3,Condominium,Built-up,1507,'Partly Furnished'
'desa parkcity',2300000,4,3,'Terrace/Link House','Land area',1826,'Partly Furnished'
'desa parkcity',1990000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
'desa parkcity',1950000,4,3,'Terrace/Link House',Built-up,2300,'Fully Furnished'
klcc,2950000,4,4,Condominium,Built-up,2674,'Partly Furnished'
'bangsar south',490000,1,1,'Serviced Residence',Built-up,520,'Fully Furnished'
klcc,3090000,2,2,'Serviced Residence',Built-up,1572,'Partly Furnished'
'desa parkcity',3600000,6,6,'Semi-detached House','Land area',5850,'Partly Furnished'
klcc,1230000,4,4,'Serviced Residence',Built-up,1378,'Fully Furnished'
'jalan klang lama (old klang road)',350000,3,2,'Serviced Residence',Built-up,950,'Partly Furnished'
klcc,1230000,1,1,'Serviced Residence',Built-up,850,'Fully Furnished'
'desa parkcity',1250000,3,2,Condominium,Built-up,1303,'Partly Furnished'
'desa parkcity',2500000,4,5,'Terrace/Link House','Land area',1364,'Partly Furnished'
'desa parkcity',1100000,3,3,Condominium,Built-up,1378,Unfurnished
'desa parkcity',1980000,4,4,'Terrace/Link House','Land area',1650,'Partly Furnished'
bangsar,1300000,3,2,Townhouse,'Land area',1320,'Partly Furnished'
'taman melawati',2800000,5,6,Bungalow,'Land area',5628,'Partly Furnished'
'taman tun dr ismail',1050000,3,2,'Terrace/Link House','Land area',1920,Unknown
klcc,3600000,4,5,'Serviced Residence',Built-up,3897,'Partly Furnished'
'ampang hilir',5900000,5,5,Condominium,Built-up,4000,Unknown
klcc,3900000,2,2,'Serviced Residence',Built-up,1636,'Partly Furnished'
klcc,1300000,1,1,'Serviced Residence',Built-up,925,'Partly Furnished'
klcc,1240000,1,1,'Serviced Residence',Built-up,850,'Fully Furnished'
'bukit jalil',438000,3,2,Apartment,Built-up,1018,'Partly Furnished'
'jalan klang lama (old klang road)',530000,4,2,'Serviced Residence',Built-up,900,'Partly Furnished'
setiawangsa,590000,3,2,Condominium,Built-up,1196,'Partly Furnished'
klcc,1000000,1,1,Condominium,Built-up,751,'Partly Furnished'
klcc,1900000,3,2,Condominium,Built-up,915,'Partly Furnished'
klcc,2400000,2,2,'Serviced Residence',Built-up,1006,'Fully Furnished'
setapak,380000,4,2,Condominium,Built-up,950,Unfurnished
klcc,1198000,2,1,'Serviced Residence',Built-up,764,'Fully Furnished'
klcc,1000000,1,1,Condominium,Built-up,657,'Partly Furnished'
bangsar,12000000,7,6,Bungalow,'Land area',11500,'Partly Furnished'
'taman tun dr ismail',1280000,4,3,'Terrace/Link House','Land area',1875,'Partly Furnished'
klcc,1780000,1,1,'Serviced Residence',Built-up,728,'Fully Furnished'
oug,5900000,7,8,Bungalow,'Land area',12722,'Partly Furnished'
klcc,2300000,1,1,'Serviced Residence',Built-up,1023,'Partly Furnished'
'sungai besi',1340000,5,6,'Terrace/Link House','Land area',1920,'Partly Furnished'
'sungai besi',1600000,5,6,'Terrace/Link House','Land area',1930,'Partly Furnished'
klcc,1000000,1,1,Condominium,Built-up,751,'Partly Furnished'
klcc,800000,3,3,'Serviced Residence',Built-up,1055,'Fully Furnished'
'sungai besi',1340000,5,6,'Terrace/Link House',Built-up,3216,Unfurnished
klcc,3600000,4,5,'Serviced Residence',Built-up,3897,'Partly Furnished'
'bukit bintang',6000000,5,5,'Serviced Residence',Built-up,4157,'Partly Furnished'
'taman tun dr ismail',1090000,3,2,'Terrace/Link House','Land area',1920,'Partly Furnished'
