@relation final_property_listings_WEKA-weka.filters.unsupervised.attribute.Remove-R1

@attribute Location {klcc,'damansara heights',dutamas,'bukit jalil','taman tun dr ismail','sri petaling','bukit tunku (kenny hills)','mont kiara','desa parkcity','bangsar south','ampang hilir',kepong,'jalan klang lama (old klang road)','sungai besi','kl city','kl sentral','taman melawati',setapak,'city centre','country heights damansara','taman desa',sentul,bangsar,segambut,'wangsa maju','batu caves',ampang,'sri hartamas',cheras,setiawangsa,oug,'bukit bintang','jalan sultan ismail','jalan kuching','bandar menjalara',seputeh,'sunway spk','kl eco city',pantai,'kuchai lama','jalan ipoh',brickfields,'desa pandan','desa petaling','pandan perdana','bandar damai perdana',keramat,'salak selatan',titiwangsa}
@attribute Price numeric
@attribute 'Rooms Num' numeric
@attribute Bathrooms numeric
@attribute 'Main Property Type' {'Serviced Residence',Bungalow,Condominium,'Semi-detached House','Terrace/Link House',Apartment,Townhouse,Flat,'Residential Land','Cluster House'}
@attribute 'Size Type' {Built-up,'Land area'}
@attribute 'Size Num' numeric
@attribute Furnishing {'Fully Furnished','Partly Furnished',Unfurnished,Unknown}

@data
ampang,680000,2,2,'Serviced Residence',Built-up,950,'Fully Furnished'
ampang,660000,2,2,'Serviced Residence',Built-up,850,Unknown
cheras,495000,4,2,Condominium,Built-up,1142,Unknown
sentul,630000,4,3,Condominium,Built-up,1350,Unknown
klcc,830000,1,1,'Serviced Residence',Built-up,980,'Partly Furnished'
'taman tun dr ismail',2800000,5,5,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2800000,5,5,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2980000,5,4,'Semi-detached House','Land area',3600,'Fully Furnished'
'desa parkcity',3650000,4,4,'Terrace/Link House','Land area',3375,Unknown
'taman tun dr ismail',2820000,5,5,'Semi-detached House','Land area',3600,'Fully Furnished'
'taman tun dr ismail',2750000,5,3,'Semi-detached House','Land area',3600,'Fully Furnished'
'taman tun dr ismail',3600000,6,5,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',3400000,5,4,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',3300000,5,4,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2900000,5,5,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2980000,5,5,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2800000,6,5,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',3150000,5,5,'Semi-detached House','Land area',3600,'Fully Furnished'
'taman tun dr ismail',2900000,7,6,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',3180000,6,6,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2550000,7,5,'Semi-detached House','Land area',3600,'Fully Furnished'
'mont kiara',1910000,4,5,Condominium,Built-up,2025,'Fully Furnished'
'taman tun dr ismail',2600000,5,4,'Semi-detached House','Land area',6000,'Fully Furnished'
'taman tun dr ismail',4600000,6,5,'Semi-detached House','Land area',4800,'Fully Furnished'
'taman tun dr ismail',3580000,6,4,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2950000,5,4,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2950000,5,4,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',2880000,4,4,'Semi-detached House','Land area',4930,'Partly Furnished'
'taman tun dr ismail',2800000,6,5,'Semi-detached House','Land area',4000,Unfurnished
'taman tun dr ismail',2850000,7,5,'Semi-detached House','Land area',4100,'Partly Furnished'
'taman tun dr ismail',2700000,6,4,'Semi-detached House','Land area',4100,'Partly Furnished'
'taman tun dr ismail',4000000,6,5,'Semi-detached House','Land area',4800,'Fully Furnished'
'mont kiara',1880000,4,4,Condominium,Built-up,2243,'Fully Furnished'
klcc,1300000,2,2,'Serviced Residence',Built-up,1012,'Fully Furnished'
'ampang hilir',2000000,4,4,Condominium,Built-up,2228,'Partly Furnished'
sentul,430000,3,2,Condominium,Built-up,1125,'Partly Furnished'
sentul,500000,3,2,Condominium,Built-up,1050,'Fully Furnished'
'mont kiara',2480000,5,5,Condominium,'Land area',3678,'Partly Furnished'
'taman tun dr ismail',850000,3,3,Townhouse,Built-up,1344,'Fully Furnished'
'mont kiara',790000,3,2,Condominium,Built-up,1544,'Partly Furnished'
'sri hartamas',820000,3,2,'Serviced Residence',Built-up,1230,Unknown
'sri hartamas',880000,3,2,'Serviced Residence',Built-up,1230,'Fully Furnished'
dutamas,1400000,5,4,Condominium,Built-up,1971,'Fully Furnished'
'taman desa',630000,3,2,Condominium,Built-up,1258,'Partly Furnished'
'taman tun dr ismail',1280000,3,2,Condominium,Built-up,1560,Unknown
'sri hartamas',470000,1,1,'Serviced Residence',Built-up,595,'Fully Furnished'
brickfields,630000,1,1,'Serviced Residence',Built-up,556,'Fully Furnished'
'mont kiara',740000,2,2,'Serviced Residence',Built-up,913,Unknown
'mont kiara',740000,2,2,'Serviced Residence',Built-up,913,Unknown
klcc,2550000,5,6,Condominium,Built-up,2950,'Fully Furnished'
'bukit bintang',1315000,3,2,'Serviced Residence',Built-up,1555,'Fully Furnished'
klcc,1900000,5,5,Condominium,Built-up,2315,'Fully Furnished'
'taman desa',680000,3,2,Condominium,Built-up,1170,Unknown
'bukit bintang',2950000,4,4,'Serviced Residence',Built-up,1307,'Partly Furnished'
'bukit bintang',4040000,4,4,Condominium,Built-up,2045,'Partly Furnished'
dutamas,2300000,5,5,'Semi-detached House',Built-up,3068,'Partly Furnished'
dutamas,2350000,5,5,'Semi-detached House',Built-up,3068,'Partly Furnished'
klcc,1400000,2,1,'Serviced Residence',Built-up,880,'Fully Furnished'
klcc,2499900,5,6,'Serviced Residence',Built-up,3000,'Fully Furnished'
brickfields,980000,2,2,'Serviced Residence',Built-up,838,'Fully Furnished'
bangsar,720000,1,1,'Serviced Residence',Built-up,538,Unknown
'desa petaling',380000,2,2,Condominium,Built-up,727,'Fully Furnished'
sentul,430000,3,2,Condominium,Built-up,1130,Unfurnished
segambut,400000,3,2,Apartment,Built-up,926,'Partly Furnished'
'desa parkcity',2600000,5,5,Condominium,Built-up,2454,'Partly Furnished'
cheras,860000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
bangsar,7000000,6,6,Bungalow,'Land area',9000,'Partly Furnished'
kepong,590000,3,2,'Serviced Residence',Built-up,1162,Unfurnished
'jalan ipoh',700000,3,2,Townhouse,Built-up,1228,'Partly Furnished'
segambut,415000,3,2,Apartment,Built-up,1075,'Partly Furnished'
cheras,3900000,6,6,Bungalow,'Land area',8400,'Fully Furnished'
'bangsar south',680000,2,2,'Serviced Residence',Built-up,815,Unfurnished
kepong,300000,3,2,Apartment,Built-up,1010,'Partly Furnished'
cheras,275400,1,1,Condominium,Built-up,635,Unknown
'bandar menjalara',949000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
'mont kiara',2880000,5,6,Condominium,Built-up,3541,Unknown
'jalan klang lama (old klang road)',998000,3,3,Condominium,Built-up,1523,'Fully Furnished'
'bukit jalil',2300000,7,5,'Terrace/Link House','Land area',2640,'Partly Furnished'
cheras,2680000,5,5,Bungalow,'Land area',10500,Unknown
klcc,1130000,1,1,Condominium,Built-up,630,'Fully Furnished'
'sri petaling',1150000,6,5,'Terrace/Link House','Land area',2939,'Partly Furnished'
'bukit jalil',1790000,5,4,'Terrace/Link House','Land area',1840,'Fully Furnished'
oug,980000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
'sri petaling',1400000,5,5,'Terrace/Link House','Land area',1650,'Partly Furnished'
'sri petaling',1350000,5,3,'Terrace/Link House','Land area',2200,'Partly Furnished'
'sri petaling',1150000,6,5,'Terrace/Link House','Land area',1650,'Partly Furnished'
'mont kiara',1650000,6,4,Condominium,Built-up,2735,Unknown
'mont kiara',1290000,3,2,Condominium,Built-up,1200,Unknown
'sri petaling',1790000,4,4,'Terrace/Link House','Land area',2940,'Partly Furnished'
'sri petaling',950000,4,3,'Terrace/Link House','Land area',1650,'Fully Furnished'
'mont kiara',1650000,5,4,Condominium,Built-up,2648,'Fully Furnished'
bangsar,12000000,5,6,Bungalow,'Land area',9041,'Partly Furnished'
'mont kiara',2280000,5,4,Condominium,Built-up,3000,'Partly Furnished'
'mont kiara',1780000,5,4,Condominium,Built-up,1830,Unknown
'mont kiara',1680000,4,4,Condominium,Built-up,1668,Unknown
'mont kiara',1450000,4,4,Condominium,Built-up,3200,Unknown
'mont kiara',720000,3,2,Condominium,Built-up,1049,'Fully Furnished'
'mont kiara',1700000,5,4,Condominium,Built-up,2552,'Partly Furnished'
'mont kiara',3630000,6,7,Condominium,Built-up,3671,Unknown
'sri petaling',2100000,4,4,'Semi-detached House','Land area',4000,'Partly Furnished'
'desa parkcity',1350000,4,2,Condominium,Built-up,1572,'Fully Furnished'
'sri petaling',3400000,4,5,'Semi-detached House','Land area',6100,Unfurnished
'mont kiara',3300000,5,5,Condominium,Built-up,3720,Unknown
'sri petaling',2350000,5,5,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',3200000,6,5,'Semi-detached House','Land area',6000,'Partly Furnished'
'sri petaling',2900000,4,4,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',3300000,5,5,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',2550000,5,5,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',3300000,7,6,'Semi-detached House','Land area',4000,'Partly Furnished'
'bukit jalil',950000,4,3,Condominium,Built-up,1513,'Partly Furnished'
'mont kiara',3500000,6,6,Condominium,Built-up,4090,Unknown
'mont kiara',940000,4,3,Condominium,Built-up,1448,'Fully Furnished'
'mont kiara',3300000,5,5,Condominium,Built-up,3720,Unknown
'sri petaling',2350000,5,5,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',3200000,6,5,'Semi-detached House','Land area',6000,'Partly Furnished'
'sri petaling',2900000,4,4,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',3300000,5,5,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',2550000,5,5,'Semi-detached House','Land area',4000,'Partly Furnished'
'sri petaling',3300000,7,6,'Semi-detached House','Land area',4000,'Partly Furnished'
'bukit jalil',950000,4,3,Condominium,Built-up,1513,'Partly Furnished'
'mont kiara',3500000,6,6,Condominium,Built-up,4090,Unknown
'mont kiara',940000,4,3,Condominium,Built-up,1448,'Fully Furnished'
'bukit jalil',1380000,4,3,Townhouse,Built-up,2900,'Partly Furnished'
'bukit jalil',928000,4,3,Condominium,Built-up,1513,'Partly Furnished'
'sri hartamas',2750000,6,6,Condominium,Built-up,3466,Unknown
'mont kiara',2930000,6,6,Condominium,Built-up,3668,Unknown
'mont kiara',1280000,4,3,Condominium,Built-up,2002,'Fully Furnished'
'mont kiara',1660000,4,3,Condominium,Built-up,2020,Unknown
'mont kiara',800000,3,2,Condominium,Built-up,1241,Unknown
cheras,1050000,6,4,'Terrace/Link House','Land area',2728,'Fully Furnished'
'mont kiara',730000,4,3,Condominium,Built-up,1238,Unknown
'mont kiara',1150000,4,3,Condominium,Built-up,1605,'Fully Furnished'
'mont kiara',1820000,5,4,Condominium,Built-up,1830,Unknown
kepong,1080000,4,3,'Terrace/Link House','Land area',1870,'Partly Furnished'
'mont kiara',1280000,3,2,Condominium,Built-up,1200,Unknown
'mont kiara',800000,3,2,Condominium,Built-up,1208,'Fully Furnished'
'mont kiara',1230000,4,3,Condominium,Built-up,1668,Unknown
bangsar,1490000,4,4,Condominium,Built-up,1910,'Fully Furnished'
'mont kiara',1430000,4,4,Condominium,Built-up,1496,Unknown
'mont kiara',700000,3,2,'Serviced Residence',Built-up,1248,'Partly Furnished'
'sri petaling',379000,3,2,Condominium,Built-up,1045,'Partly Furnished'
'sri hartamas',2650000,5,5,Condominium,Built-up,3466,'Partly Furnished'
'mont kiara',2750000,6,5,Condominium,Built-up,3741,'Partly Furnished'
'mont kiara',2230000,5,5,Condominium,Built-up,2973,Unknown
setapak,505000,4,2,Condominium,Built-up,1333,Unfurnished
'mont kiara',840000,2,2,Condominium,Built-up,815,Unknown
'bukit jalil',4600000,5,5,Bungalow,'Land area',5798,'Partly Furnished'
'kl city',330000,1,1,'Serviced Residence',Built-up,466,'Fully Furnished'
klcc,1680000,2,2,'Serviced Residence',Built-up,1206,'Fully Furnished'
'bukit jalil',4600000,6,5,Bungalow,'Land area',7297,'Partly Furnished'
'bukit jalil',4500000,6,5,Bungalow,'Land area',7000,'Fully Furnished'
'bukit jalil',4300000,8,7,Bungalow,'Land area',5715,'Partly Furnished'
'bukit jalil',5650000,6,7,Bungalow,'Land area',8568,'Fully Furnished'
klcc,1700000,2,2,'Serviced Residence',Built-up,1249,'Fully Furnished'
'mont kiara',2200000,5,5,Condominium,Built-up,3000,Unknown
'bukit jalil',7200000,8,7,Bungalow,'Land area',8239,'Partly Furnished'
'bukit jalil',6600000,6,6,Bungalow,'Land area',8000,'Partly Furnished'
'mont kiara',680000,1,1,'Serviced Residence',Built-up,743,'Partly Furnished'
kepong,799000,4,2,'Terrace/Link House','Land area',1760,'Partly Furnished'
'mont kiara',1350000,4,4,Condominium,Built-up,2002,Unknown
'mont kiara',2900000,7,6,Condominium,Built-up,3729,Unknown
'jalan ipoh',1300000,5,3,'Terrace/Link House','Land area',2060,'Fully Furnished'
kepong,850000,4,3,'Terrace/Link House','Land area',1870,Unfurnished
'mont kiara',2900000,6,7,Condominium,Built-up,3729,Unknown
'mont kiara',1370000,4,4,Condominium,Built-up,1871,'Partly Furnished'
'mont kiara',715000,2,2,'Serviced Residence',Built-up,913,'Partly Furnished'
'mont kiara',1280000,4,4,Condominium,Built-up,2002,'Partly Furnished'
'mont kiara',2600000,6,6,Condominium,Built-up,3317,Unknown
'mont kiara',2920000,5,6,Condominium,Built-up,3668,Unknown
'mont kiara',3150000,6,6,Condominium,Built-up,3704,Unknown
'mont kiara',1070000,2,2,'Serviced Residence',Built-up,910,Unknown
'mont kiara',770000,3,2,Condominium,Built-up,1228,'Fully Furnished'
'mont kiara',2050000,4,4,Condominium,Built-up,2700,Unknown
'kuchai lama',2680000,5,5,'Terrace/Link House','Land area',4000,'Partly Furnished'
'ampang hilir',3800000,5,3,Condominium,'Land area',3500,'Partly Furnished'
setapak,350000,3,2,'Serviced Residence',Built-up,856,Unknown
setapak,390000,3,2,'Serviced Residence',Built-up,1009,Unknown
setapak,340000,3,2,Condominium,Built-up,927,'Partly Furnished'
setapak,360000,3,2,Condominium,Built-up,927,Unknown
'mont kiara',1750000,5,5,Condominium,Built-up,2405,'Fully Furnished'
'mont kiara',1680000,4,4,Condominium,Built-up,2025,'Partly Furnished'
'mont kiara',2900000,6,7,Condominium,Built-up,3729,Unknown
'mont kiara',1560000,4,3,Condominium,Built-up,1878,Unknown
setapak,420000,3,2,'Serviced Residence',Built-up,1009,Unknown
'mont kiara',1450000,4,3,Condominium,Built-up,1496,Unknown
'sri hartamas',3150000,6,7,Condominium,Built-up,3983,Unknown
'mont kiara',780000,2,2,Condominium,Built-up,1058,Unknown
'mont kiara',2400000,6,6,Condominium,Built-up,2906,'Fully Furnished'
cheras,800000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
'mont kiara',3650000,6,5,Condominium,Built-up,4090,Unknown
'mont kiara',710000,2,2,'Serviced Residence',Built-up,913,'Fully Furnished'
'mont kiara',1820000,4,5,Condominium,Built-up,2347,'Partly Furnished'
'mont kiara',1020000,2,2,'Serviced Residence',Built-up,896,Unknown
'taman tun dr ismail',2700000,7,3,'Semi-detached House','Land area',4000,'Partly Furnished'
'mont kiara',2190000,5,6,Condominium,Built-up,3729,'Fully Furnished'
'mont kiara',948000,4,3,Condominium,Built-up,1500,'Partly Furnished'
'mont kiara',1460000,4,5,Condominium,Built-up,2257,'Fully Furnished'
'mont kiara',1750000,4,4,Condominium,Built-up,2025,Unknown
'mont kiara',2700000,5,6,Condominium,Built-up,3169,Unknown
oug,1620000,7,4,'Semi-detached House','Land area',2800,'Partly Furnished'
'mont kiara',1200000,4,3,Condominium,Built-up,1703,'Partly Furnished'
'mont kiara',1645000,4,3,Condominium,Built-up,1496,'Partly Furnished'
'sungai besi',495000,3,3,'Serviced Residence',Built-up,1045,'Fully Furnished'
'mont kiara',1680000,4,4,Condominium,Built-up,2025,'Partly Furnished'
'mont kiara',2900000,6,7,Condominium,Built-up,3729,Unknown
'mont kiara',1560000,4,3,Condominium,Built-up,1878,Unknown
setapak,420000,3,2,'Serviced Residence',Built-up,1009,Unknown
'mont kiara',1450000,4,3,Condominium,Built-up,1496,Unknown
'sri hartamas',3150000,6,7,Condominium,Built-up,3983,Unknown
'mont kiara',780000,2,2,Condominium,Built-up,1058,Unknown
'mont kiara',2400000,6,6,Condominium,Built-up,2906,'Fully Furnished'
cheras,800000,4,3,'Terrace/Link House','Land area',1650,'Partly Furnished'
'mont kiara',3650000,6,5,Condominium,Built-up,4090,Unknown
'mont kiara',710000,2,2,'Serviced Residence',Built-up,913,'Fully Furnished'
'mont kiara',1820000,4,5,Condominium,Built-up,2347,'Partly Furnished'
'mont kiara',1020000,2,2,'Serviced Residence',Built-up,896,Unknown
'taman tun dr ismail',2700000,7,3,'Semi-detached House','Land area',4000,'Partly Furnished'
'mont kiara',2190000,5,6,Condominium,Built-up,3729,'Fully Furnished'
'mont kiara',948000,4,3,Condominium,Built-up,1500,'Partly Furnished'
'mont kiara',1460000,4,5,Condominium,Built-up,2257,'Fully Furnished'
'mont kiara',1750000,4,4,Condominium,Built-up,2025,Unknown
'mont kiara',2700000,5,6,Condominium,Built-up,3169,Unknown
oug,1620000,7,4,'Semi-detached House','Land area',2800,'Partly Furnished'
'mont kiara',1200000,4,3,Condominium,Built-up,1703,'Partly Furnished'
'mont kiara',1645000,4,3,Condominium,Built-up,1496,'Partly Furnished'
'sungai besi',495000,3,3,'Serviced Residence',Built-up,1045,'Fully Furnished'
klcc,920000,1,1,'Serviced Residence',Built-up,764,'Fully Furnished'
klcc,1500000,2,2,'Serviced Residence',Built-up,1356,'Fully Furnished'
klcc,1100000,2,1,'Serviced Residence',Built-up,915,'Fully Furnished'
klcc,2757300,4,5,'Serviced Residence',Built-up,2626,'Partly Furnished'
'bukit jalil',938000,4,3,Condominium,Built-up,1513,'Partly Furnished'
sentul,440000,3,2,'Terrace/Link House','Land area',770,Unfurnished
setapak,358000,3,2,Apartment,Built-up,960,'Partly Furnished'
setapak,1950000,6,6,'Semi-detached House','Land area',3200,'Partly Furnished'
kepong,800000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
'jalan klang lama (old klang road)',510300,4,3,Condominium,Built-up,1335,Unfurnished
klcc,980000,2,2,'Serviced Residence',Built-up,1055,'Partly Furnished'
'kuchai lama',1650000,4,4,'Terrace/Link House','Land area',1760,'Partly Furnished'
'mont kiara',2535300,5,4,Condominium,Built-up,3729,'Partly Furnished'
cheras,432000,3,2,Condominium,Built-up,850,Unfurnished
cheras,432000,3,2,'Serviced Residence',Built-up,850,Unfurnished
cheras,740000,3,2,Condominium,Built-up,1137,Unknown
cheras,620000,3,2,'Serviced Residence',Built-up,1000,'Partly Furnished'
klcc,1080000,3,2,'Serviced Residence',Built-up,1259,'Fully Furnished'
klcc,830000,2,1,'Serviced Residence',Built-up,850,'Fully Furnished'
klcc,1300000,3,3,'Serviced Residence',Built-up,1495,'Fully Furnished'
kepong,280000,3,2,Apartment,Built-up,818,'Partly Furnished'
'bukit bintang',690000,1,1,'Serviced Residence',Built-up,640,Unknown
kepong,1600000,5,3,'Terrace/Link House',Built-up,3075,'Fully Furnished'
'city centre',620000,1,1,Condominium,Built-up,750,'Fully Furnished'
klcc,680000,1,1,'Serviced Residence',Built-up,603,'Fully Furnished'
'damansara heights',1570000,4,3,'Terrace/Link House','Land area',1650,Unfurnished
'mont kiara',1180000,4,4,Condominium,Built-up,2100,'Fully Furnished'
seputeh,5400000,7,7,Bungalow,'Land area',4687,'Partly Furnished'
'mont kiara',1530000,5,4,Condominium,Built-up,2465,'Partly Furnished'
'mont kiara',800000,3,2,Condominium,Built-up,1250,'Fully Furnished'
setapak,200000,3,2,Apartment,Built-up,653,'Partly Furnished'
'wangsa maju',1050000,4,3,'Terrace/Link House',Built-up,2400,Unknown
'mont kiara',1480000,6,5,Condominium,Built-up,3289,'Partly Furnished'
seputeh,5980000,8,8,Bungalow,'Land area',7300,'Partly Furnished'
segambut,720900,4,3,'Terrace/Link House','Land area',1650,Unknown
segambut,720900,4,3,'Terrace/Link House','Land area',1650,Unknown
'taman desa',450000,3,2,Condominium,Built-up,1249,Unknown
'sri petaling',420000,3,2,Condominium,Built-up,947,'Partly Furnished'
kepong,950000,6,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
cheras,367000,3,2,Condominium,Built-up,1000,Unfurnished
segambut,480000,4,3,'Terrace/Link House','Land area',880,Unknown
'mont kiara',1320000,3,3,Condominium,Built-up,1200,'Partly Furnished'
'jalan ipoh',486000,3,2,Condominium,Built-up,978,Unfurnished
seputeh,240000,1,1,Condominium,Built-up,400,Unfurnished
'taman tun dr ismail',1500000,4,4,Condominium,'Land area',1826,'Partly Furnished'
'taman tun dr ismail',1790000,4,3,'Terrace/Link House','Land area',2108,'Partly Furnished'
'bukit bintang',635000,2,2,'Serviced Residence',Built-up,899,Unknown
'damansara heights',4500000,6,5,Bungalow,'Land area',6910,'Partly Furnished'
'bukit jalil',480000,3,2,Condominium,Built-up,1252,'Partly Furnished'
segambut,1200000,4,3,'Terrace/Link House','Land area',2640,Unfurnished
'bandar menjalara',628000,3,2,Condominium,Built-up,1316,'Partly Furnished'
dutamas,500000,4,3,Condominium,Built-up,1418,'Partly Furnished'
'salak selatan',579000,3,3,'Serviced Residence',Built-up,1140,'Fully Furnished'
sentul,560000,2,2,Condominium,Built-up,1115,'Fully Furnished'
'mont kiara',1300000,4,3,Condominium,Built-up,1661,'Partly Furnished'
'sri petaling',980000,3,3,'Terrace/Link House','Land area',2200,Unknown
setapak,370000,2,1,'Serviced Residence',Built-up,682,Unfurnished
'jalan klang lama (old klang road)',730000,5,2,'Terrace/Link House','Land area',1430,Unknown
'taman tun dr ismail',4580000,7,5,Bungalow,'Land area',6000,'Partly Furnished'
'mont kiara',850000,3,2,'Serviced Residence',Built-up,1248,'Fully Furnished'
'mont kiara',770000,3,2,'Serviced Residence',Built-up,1088,'Partly Furnished'
'mont kiara',728000,3,2,Condominium,Built-up,1399,'Partly Furnished'
'mont kiara',820000,3,2,Condominium,Built-up,1399,'Partly Furnished'
klcc,858000,2,1,'Serviced Residence',Built-up,761,'Fully Furnished'
dutamas,1000000,4,4,Condominium,Built-up,1520,'Partly Furnished'
dutamas,525000,4,3,Condominium,Built-up,1476,'Fully Furnished'
dutamas,868000,5,4,Condominium,Built-up,2950,'Partly Furnished'
'mont kiara',770000,3,2,'Serviced Residence',Built-up,1088,'Partly Furnished'
'mont kiara',728000,3,2,Condominium,Built-up,1399,'Partly Furnished'
'mont kiara',820000,3,2,Condominium,Built-up,1399,'Partly Furnished'
klcc,858000,2,1,'Serviced Residence',Built-up,761,'Fully Furnished'
dutamas,1000000,4,4,Condominium,Built-up,1520,'Partly Furnished'
dutamas,525000,4,3,Condominium,Built-up,1476,'Fully Furnished'
dutamas,868000,5,4,Condominium,Built-up,2950,'Partly Furnished'
'mont kiara',818000,3,2,Condominium,Built-up,1300,'Fully Furnished'
'bandar menjalara',340000,4,2,'Serviced Residence',Built-up,916,'Partly Furnished'
'sri petaling',380000,3,2,Condominium,Built-up,1129,'Partly Furnished'
ampang,460000,3,2,'Terrace/Link House','Land area',1200,'Partly Furnished'
cheras,948000,8,3,'Terrace/Link House','Land area',1650,'Fully Furnished'
sentul,950000,4,3,Condominium,Built-up,1569,'Partly Furnished'
klcc,515000,1,1,'Serviced Residence','Land area',411,'Fully Furnished'
'mont kiara',2500000,5,4,Condominium,Built-up,3000,'Partly Furnished'
'mont kiara',5200000,5,4,Condominium,Built-up,5200,'Partly Furnished'
'mont kiara',1572000,5,4,Condominium,Built-up,2065,'Partly Furnished'
'mont kiara',1616000,5,5,Condominium,Built-up,2163,'Partly Furnished'
'mont kiara',2180000,5,5,Condominium,Built-up,2766,'Partly Furnished'
'sri hartamas',1200000,2,2,Townhouse,Built-up,1500,'Fully Furnished'
'sunway spk',1280000,4,4,Townhouse,'Land area',2262,'Partly Furnished'
'sri hartamas',990000,3,2,Townhouse,Built-up,1500,Unfurnished
'mont kiara',750000,1,1,'Serviced Residence',Built-up,672,'Fully Furnished'
'mont kiara',950000,2,2,'Serviced Residence',Built-up,861,'Fully Furnished'
'sungai besi',618000,3,2,Condominium,'Land area',1106,'Partly Furnished'
'sungai besi',488000,2,2,Condominium,'Land area',855,'Partly Furnished'
'sungai besi',700000,4,2,Condominium,'Land area',1449,'Partly Furnished'
'mont kiara',950000,3,2,Condominium,Built-up,1280,'Fully Furnished'
'sungai besi',670000,4,2,Condominium,'Land area',1260,'Partly Furnished'
'jalan klang lama (old klang road)',1250000,4,4,Condominium,Built-up,2128,Unfurnished
'mont kiara',1590000,4,4,Condominium,Built-up,1878,'Partly Furnished'
klcc,4100000,4,4,Condominium,Built-up,2300,'Partly Furnished'
'mont kiara',795000,3,2,Condominium,Built-up,1292,'Partly Furnished'
'jalan kuching',550000,3,2,Condominium,Built-up,1200,'Partly Furnished'
'jalan kuching',598000,4,2,Condominium,Built-up,1295,'Partly Furnished'
'mont kiara',1200000,4,3,Condominium,Built-up,1690,'Fully Furnished'
'mont kiara',1500000,3,2,Condominium,Built-up,1200,'Partly Furnished'
'sungai besi',688000,3,2,'Serviced Residence',Built-up,1025,'Partly Furnished'
'jalan kuching',750000,3,3,Condominium,Built-up,1600,'Partly Furnished'
'bukit tunku (kenny hills)',1450000,3,3,Condominium,Built-up,1755,'Partly Furnished'
'kl eco city',860000,2,1,Condominium,Built-up,732,'Partly Furnished'
'city centre',2850000,5,5,Condominium,Built-up,3200,'Fully Furnished'
kepong,320000,3,2,Townhouse,Built-up,865,Unfurnished
segambut,1150000,3,4,Condominium,Built-up,1788,'Partly Furnished'
'mont kiara',2950000,5,4,Condominium,Built-up,3478,'Fully Furnished'
'wangsa maju',1900000,4,3,'Semi-detached House','Land area',5229,Unfurnished
kepong,1200000,4,4,'Terrace/Link House','Land area',1540,'Partly Furnished'
'sungai besi',574000,2,2,Condominium,Built-up,904,'Partly Furnished'
'sungai besi',671000,3,2,Condominium,Built-up,1110,'Partly Furnished'
'sungai besi',693000,3,2,Condominium,Built-up,1207,'Partly Furnished'
'sungai besi',732000,3,2,Condominium,Built-up,1307,'Partly Furnished'
'jalan klang lama (old klang road)',540000,2,2,'Serviced Residence',Built-up,699,'Partly Furnished'
'bukit tunku (kenny hills)',1550000,3,4,Condominium,Built-up,2100,'Fully Furnished'
'mont kiara',1350000,2,2,'Serviced Residence',Built-up,1318,'Fully Furnished'
'bandar menjalara',835000,5,3,Condominium,Built-up,1635,'Fully Furnished'
'mont kiara',1500000,4,4,Condominium,Built-up,2163,'Fully Furnished'
'sri hartamas',505000,2,1,'Serviced Residence','Land area',560,'Fully Furnished'
'mont kiara',1900000,4,4,Condominium,Built-up,2073,'Fully Furnished'
'mont kiara',1750000,4,4,Condominium,Built-up,2020,'Partly Furnished'
'mont kiara',1800000,4,4,Condominium,Built-up,2038,Unfurnished
'mont kiara',1690000,4,4,Condominium,Built-up,2020,Unfurnished
'sri hartamas',788000,3,2,Townhouse,Built-up,1500,Unknown
kepong,1600000,6,7,'Terrace/Link House','Land area',1870,'Partly Furnished'
